name,description,damage,encumbrance,armour,wearing,intrinsic,companion
garrote,,garrote,1,,0,0,0
ghost,with whom you have developed a codependent relationship,,,,0,0,0
grappling hook,,,1,,0,0,0
greatsword,,greatsword,2,,0,0,0
half full firking of rhino beer,20 Provisions worth,,1,,0,0,0
hammer,,hammer,1,,0,0,0
heavy armour,,,3,3,0,0,0
hermetically sealed rubber suit,counts as Heavy Armour,,3,3,0,0,0
hooves,,club,,,0,1,0
horn,,knife,,,0,1,0
horse,,,0,,0,0,1
huge maul,,maul,2,,0,0,0
inbuilt particle detector,+4 Second Sight,,,,0,1,0
incidental sacred jewellry,worth 10d6 Silver pence if traded,,0,0,0,0,0
jar with a pissed-off gremlin,,,1,,0,0,0
journal,,,1,,0,0,0
kg of premium meat cuts,,,1,,0,0,0
knife,,knife,1,,0,0,0
knuckle die,"Knuckle dice are made from the nimble, petal shaped knuckle bones of goblins and make excellent two sided dice.",,1,,0,0,0
lance,,spear,2,,0,0,0
large astrolabe,"Astrological Equipment requires twenty minutes to set up and use but doesn’t need to be outside. Consists of a ruby specular, charms against reciprocal observation, and complicated charts of the spheres. Grants +1 to Astrology.",mace,2,,0,0,0
large sack,,,1,,0,0,0
"large, worn wooden ladle",,mace,1,,0,0,0
length of rope,,,1,,0,0,0
lock picking tools,,,1,,0,0,0
longsword,,longsword,1,,0,0,0
lots of scars,,,,,0,1,0
lots of scrolls,,,1,,0,0,0
mace,,mace,1,,0,0,0
manual on yongardy law,,,1,,0,0,0
masonry hammer,,hammer,1,,0,0,0
maul,,maul,1,,0,0,0
monkey club,,club,1,,0,0,0
nice weapon.,,nice weapon.,1,,0,0,0
old hunting bow,,bow,2,,0,0,0
pillbox hat,,,0,0,0,0,0
pistolet,A pistolet is a hand held energy Weapon. Holds enough energy for 8 shots.,pistolet,1,,0,0,0
plasmic cores,"Plasmic cores are crystalised starlight cast in metal. Or astral vapours captured in glass. Or maybe hard-ghosts? Whatever it is, it’s pretty and used as a fuel source for exotic Weapons and reckless magicians. A plasmic core can be cracked open and huffed by a wizard in place of spending Stamina on a Spell. However, if an Oops! Table roll is called for the wizard has overdosed and drops dead, foaming at the mouth.",,1,,0,0,0
pocket barometer,The pocket barometer is part of a fashionable affectation for the metropolitan Troikan. Though the city has no discernable weather it is considered polite to check it intermittently and comment on the present clemency and hope for it to continue into the future. Examining its quartz face will inform you of future weather with 5 in 6 accuracy.,,1,,0,0,0
pocket full of monkey treats,,,1,,0,0,0
pocket gods,Pocket gods are little cloth puppets made in the image of your numerous gods. If you whisper a secret to one and throw it away you regain 1 Luck.,,1,,0,0,0
pointed wizard hat,Received at graduation.,,0,0,0,0,0
polearm,,polearm,2,,0,0,0
pouch of salt,Salt is the poor man’s Silver. Where Silver kills the demonic and the dead Salt merely harms or bars.,,1,,0,0,0
puffy shirt,,,0,0,0,0,0
random spell,,,,,0,1,0
rapier,,sword,1,,0,0,0
reading glasses,in a sturdy case (you cannot read without them).,,1,,0,0,0
red priest great axe,,greatsword,2,,0,0,0
red robes,,,0,0,0,0,0
ritual scars,,,,,0,1,0
roll of artist’s supplies,,,1,,0,0,0
roll of lock picks,,,1,,0,0,0
rolls of parchment,,,1,,0,0,0
ruby lorgnette,Ruby lorgnettes are collapsable spectacles made with ruby lenses that require a free hand to use. While wearing them your sight is impaired but you can see sorcerous activity clearly (+2 Second Sight).,,1,,0,0,0
sackcloth robes,"caked in stinking mud and undergrowth. +1 to Sneak rolls in marshy terrain while wearing them, -1 everywhere else ‘cos it stinks!",,0,0,0,0,0
sharp metal dentures,,sword,1,,0,0,0
shield,,shield,1,,0,0,0
silver arrows,"Silver is the star metal, the most untouched material fallen from the hump-backed sky. Weapons made from it may inflict Damage to creatures normally immune to material harm.",,1,,0,0,0
silver sword,"Silver is the star metal, the most untouched material fallen from the hump-backed sky. Weapons made from it may inflict Damage to creatures normally immune to material harm.",sword,1,,0,0,0
sjambok,,club,1,,0,0,0
small but vicious dog,,,0,,0,0,1
small functional door,worn on your forehead through which you channel your magic.,,0,0,0,0,0
small gridiron,,small gridiron,1,,0,0,0
small monkeys,do not heed commands but are too scared and hungry to travel far from you.,,,,0,0,1
small sword,,sword,1,,0,0,0
soldering iron,,,1,,0,0,0
spear,,spear,1,,0,0,0
spring-loaded measuring tape,,,1,,0,0,0
staff,,staff,1,,0,0,0
staff bedecked with charms and bells,"May reroll one die on the Oops! Table if using this staff, however, may never sneak up on anyone because of the ringing and clattering it makes.",staff,1,,0,0,0
sword,,sword,1,,0,0,0
sword cane,,sword,1,,0,0,0
tea set,A tea set grants +1 to Etiquette when you have the time to sit down and make tea for those you are trying to impress.,,1,,0,0,0
thaumaturgic fez,,,0,0,0,0,0
the blessing of telak.,,,,,0,1,0
the skull of your master,,,1,,0,0,0
thick skin,Rhino Men always count as being Modestly Armoured,,0,2,0,1,0
"tiny, useless helmet",,,0,0,0,0,0
tired horse,,,,,0,0,1
too-large sword,"provides +1 to Longsword Fighting and Damage while using it. Only you may benefit from this bonus; it’s not magic, just sentimental.",longsword,2,,0,0,0
tradicional faceless metal helmet,Modest Armour,,2,2,0,0,0
velare,,,1,,0,0,0
vial of demon blood,,,1,,0,0,0
vials of pigments and powders,,,1,,0,0,0
vials of poison,,,1,,0,0,0
voluminous robes,,,0,0,0,0,0
waistcoat,,,0,0,0,0,0
wand,"sed to help focus new apprentices, now kept for sentimental reasons.",,1,,0,0,0
weapon of your choice,,,,,0,0,0
wings,able to fly as fast as a running man over clear ground,,,,0,1,0
witch-hair rope,,,1,,0,0,0
wizard biscuits,each counts as a Provision,,1,,0,0,0
wooden yoke,,,1,,0,0,0
woodman’s axe,,axe,1,,0,0,0
writing equipment,,,1,,0,0,0
writing materials,,,1,,0,0,0
yellow epopt outfit,padded for protection against unhappy clients (counts as Modest Armour),,2,2,0,0,0
zombie servant,,,,,0,0,1
